Customer;Year;Month;Product;Quantity;Total TTC 
Magasin 529;2021;6;Yaourt;129;141
Magasin 628;2026;1;Jouet A;296;420
Magasin 446;2020;11;Dentifrice;373;184
Magasin 927;2025;1;Yaourt;280;203
Magasin 619;2015;4;Jouet A;500;398
Magasin 812;2016;6;Dentifrice;387;223
Magasin 434;2015;10;Yaourt;466;44
Magasin 510;2022;5;Jouet A;183;419
Magasin 619;2017;5;Dentifrice;171;305
Magasin 326;2023;11;Yaourt;246;79
Magasin 420;2021;5;Jouet A;70;427
Magasin 190;2011;5;Dentifrice;351;126
Magasin 627;2016;11;Yaourt;379;413
Magasin 220;2016;10;Jouet A;68;196
Magasin 901;2026;8;Dentifrice;203;321
Magasin 704;2013;1;Yaourt;457;409
Magasin 829;2011;11;Jouet A;123;458
Magasin 562;2013;5;Dentifrice;208;211
Magasin 315;2014;1;Yaourt;39;142
Magasin 109;2025;2;Jouet A;245;44
Magasin 959;2015;1;Dentifrice;451;282
Magasin 337;2021;8;Yaourt;254;253
Magasin 778;2015;7;Jouet A;487;384
Magasin 641;2016;9;Dentifrice;465;76
Magasin 700;2013;7;Yaourt;124;267
Magasin 45;2023;2;Jouet A;46;257
Magasin 411;2018;6;Dentifrice;471;308
Magasin 262;2011;7;Yaourt;65;77
Magasin 50;2026;8;Jouet A;241;57
Magasin 629;2019;10;Dentifrice;16;186
Magasin 316;2010;2;Yaourt;384;206
Magasin 293;2014;12;Jouet A;158;478
Magasin 112;2019;8;Dentifrice;480;205
Magasin 793;2023;9;Yaourt;326;32
Magasin 622;2018;4;Jouet A;326;471
Magasin 191;2021;9;Dentifrice;192;487
Magasin 882;2011;10;Yaourt;342;261
Magasin 283;2024;11;Jouet A;77;406
Magasin 234;2022;6;Dentifrice;75;351
Magasin 830;2020;3;Yaourt;247;22
Magasin 417;2024;8;Jouet A;429;432
Magasin 630;2013;11;Dentifrice;151;32
Magasin 857;2016;2;Yaourt;308;208
Magasin 238;2013;1;Jouet A;321;103
Magasin 862;2017;2;Dentifrice;93;482
Magasin 766;2026;5;Yaourt;175;153
Magasin 857;2024;2;Jouet A;171;294
Magasin 18;2019;7;Dentifrice;491;412
Magasin 690;2022;7;Yaourt;428;221
Magasin 951;2010;7;Jouet A;448;236
Magasin 672;2026;9;Dentifrice;186;321
Magasin 679;2016;9;Yaourt;484;62
Magasin 599;2019;2;Jouet A;206;330
Magasin 410;2022;3;Dentifrice;476;270
Magasin 599;2019;8;Yaourt;473;500
Magasin 850;2024;6;Jouet A;136;478
Magasin 261;2012;2;Dentifrice;152;436
Magasin 383;2010;9;Yaourt;204;210
Magasin 776;2019;5;Jouet A;479;58
Magasin 947;2017;4;Dentifrice;472;349
Magasin 836;2014;3;Yaourt;197;211
Magasin 948;2010;1;Jouet A;94;374
Magasin 437;2017;9;Dentifrice;142;318
Magasin 258;2020;10;Yaourt;385;452
Magasin 225;2018;7;Jouet A;428;408
Magasin 877;2017;7;Dentifrice;140;463
Magasin 877;2026;8;Yaourt;156;35
Magasin 468;2011;3;Jouet A;201;196
Magasin 868;2025;3;Dentifrice;283;423
Magasin 982;2022;12;Yaourt;150;419
Magasin 603;2024;8;Jouet A;203;441
Magasin 387;2022;5;Dentifrice;207;332
Magasin 78;2019;11;Yaourt;390;441
Magasin 522;2017;7;Jouet A;56;136
Magasin 861;2025;7;Dentifrice;363;239
Magasin 373;2018;11;Yaourt;87;51
Magasin 530;2013;1;Jouet A;288;208
Magasin 219;2013;6;Dentifrice;369;366
Magasin 915;2026;3;Yaourt;390;438
Magasin 268;2014;5;Jouet A;121;467
Magasin 429;2019;5;Dentifrice;265;267
Magasin 449;2023;9;Yaourt;98;85
Magasin 568;2022;2;Jouet A;285;242
Magasin 530;2023;12;Dentifrice;252;358
Magasin 5;2016;8;Yaourt;47;152
Magasin 984;2013;9;Jouet A;323;420
Magasin 53;2011;11;Dentifrice;336;118
Magasin 659;2012;10;Yaourt;21;374
Magasin 400;2011;4;Jouet A;163;272
Magasin 129;2026;3;Dentifrice;69;486
Magasin 514;2019;1;Yaourt;8;432
Magasin 734;2024;6;Jouet A;204;456
Magasin 54;2020;7;Dentifrice;395;464
Magasin 792;2018;11;Yaourt;304;2
Magasin 211;2019;11;Jouet A;235;475
Magasin 796;2025;8;Dentifrice;185;24
Magasin 894;2013;8;Yaourt;447;403
Magasin 42;2019;12;Jouet A;425;240
Magasin 84;2022;7;Dentifrice;308;346
Magasin 111;2020;6;Yaourt;495;448
Magasin 47;2012;5;Jouet A;61;18
Magasin 879;2021;2;Dentifrice;282;224
Magasin 138;2019;10;Yaourt;180;74
Magasin 133;2010;4;Jouet A;66;21
Magasin 136;2024;8;Dentifrice;389;213
Magasin 52;2012;11;Yaourt;444;65
Magasin 901;2012;11;Jouet A;272;467
Magasin 174;2017;2;Dentifrice;274;331
Magasin 234;2012;7;Yaourt;496;205
Magasin 623;2013;1;Jouet A;330;255
Magasin 641;2015;11;Dentifrice;262;470
Magasin 483;2026;1;Yaourt;34;477
Magasin 204;2022;12;Jouet A;343;93
Magasin 164;2023;9;Dentifrice;135;238
Magasin 899;2025;1;Yaourt;214;421
Magasin 686;2013;5;Jouet A;453;233
Magasin 512;2011;6;Dentifrice;252;470
Magasin 128;2018;6;Yaourt;153;135
Magasin 655;2023;6;Jouet A;153;439
Magasin 212;2016;3;Dentifrice;203;86
Magasin 228;2023;1;Yaourt;27;415
Magasin 444;2010;9;Jouet A;205;334
Magasin 605;2017;12;Dentifrice;164;252
Magasin 383;2013;11;Yaourt;146;262
Magasin 101;2014;6;Jouet A;213;419
Magasin 196;2015;7;Dentifrice;396;152
Magasin 450;2019;2;Yaourt;83;365
Magasin 40;2010;6;Jouet A;334;409
Magasin 485;2022;6;Dentifrice;79;26
Magasin 720;2010;3;Yaourt;491;338
Magasin 799;2024;7;Jouet A;39;4
Magasin 154;2013;6;Dentifrice;271;292
Magasin 69;2021;8;Yaourt;260;271
Magasin 650;2023;3;Jouet A;329;186
Magasin 670;2015;12;Dentifrice;319;280
Magasin 388;2014;12;Yaourt;426;142
Magasin 664;2025;9;Jouet A;490;144
Magasin 519;2023;7;Dentifrice;318;208
Magasin 979;2022;2;Yaourt;29;24
Magasin 346;2022;6;Jouet A;319;346
Magasin 316;2022;7;Dentifrice;380;172
Magasin 117;2013;3;Yaourt;305;150
Magasin 508;2019;11;Jouet A;355;249
Magasin 625;2022;10;Dentifrice;272;485
Magasin 227;2012;1;Yaourt;129;321
Magasin 86;2016;5;Jouet A;231;162
Magasin 546;2015;5;Dentifrice;39;207
Magasin 133;2022;9;Yaourt;218;119
Magasin 680;2011;8;Jouet A;257;334
Magasin 512;2012;12;Dentifrice;266;66
Magasin 195;2021;7;Yaourt;334;418
Magasin 793;2015;8;Jouet A;365;50
Magasin 914;2023;6;Dentifrice;20;442
Magasin 493;2014;2;Yaourt;433;437
Magasin 173;2021;2;Jouet A;376;485
Magasin 3;2021;4;Dentifrice;187;247
Magasin 374;2025;4;Yaourt;113;345
Magasin 241;2011;4;Jouet A;146;21
Magasin 228;2022;1;Dentifrice;299;468
Magasin 743;2024;1;Yaourt;102;245
Magasin 297;2012;7;Jouet A;325;466
Magasin 122;2016;11;Dentifrice;414;309
Magasin 908;2020;1;Yaourt;94;430
Magasin 438;2015;9;Jouet A;297;370
Magasin 136;2023;5;Dentifrice;145;445
Magasin 478;2016;7;Yaourt;35;436
Magasin 541;2017;3;Jouet A;194;316
Magasin 339;2015;6;Dentifrice;418;420
Magasin 348;2016;6;Yaourt;51;280
Magasin 562;2021;5;Jouet A;359;256
Magasin 477;2020;8;Dentifrice;238;155
Magasin 934;2015;6;Yaourt;187;145
Magasin 247;2016;5;Jouet A;243;444
Magasin 813;2025;10;Dentifrice;353;286
Magasin 561;2025;12;Yaourt;404;163
Magasin 799;2020;4;Jouet A;288;432
Magasin 618;2017;2;Dentifrice;228;369
Magasin 675;2026;6;Yaourt;477;377
Magasin 776;2017;12;Jouet A;285;421
Magasin 305;2020;9;Dentifrice;148;125
Magasin 71;2018;6;Yaourt;150;201
Magasin 830;2021;3;Jouet A;158;339
Magasin 577;2026;12;Dentifrice;139;127
Magasin 323;2025;2;Yaourt;219;197
Magasin 888;2020;5;Jouet A;384;90
Magasin 501;2026;6;Dentifrice;401;44
Magasin 264;2026;2;Yaourt;390;20
Magasin 491;2014;7;Jouet A;377;74
Magasin 934;2015;4;Dentifrice;248;319
Magasin 323;2022;1;Yaourt;349;343
Magasin 80;2010;1;Jouet A;94;470
Magasin 229;2019;6;Dentifrice;373;138
Magasin 123;2021;8;Yaourt;237;3
Magasin 18;2023;9;Jouet A;82;393
Magasin 441;2021;2;Dentifrice;171;238
Magasin 679;2022;10;Yaourt;408;196
Magasin 659;2019;3;Jouet A;166;92
Magasin 943;2019;7;Dentifrice;410;191
Magasin 732;2012;1;Yaourt;241;280
Magasin 640;2010;1;Jouet A;61;154
Magasin 696;2018;1;Dentifrice;62;153
Magasin 70;2020;5;Yaourt;256;59
Magasin 369;2024;10;Jouet A;166;235
Magasin 684;2019;9;Dentifrice;177;208
Magasin 564;2011;2;Yaourt;408;114
Magasin 180;2021;1;Jouet A;336;210
Magasin 601;2017;12;Dentifrice;119;4
Magasin 322;2018;9;Yaourt;498;401
Magasin 648;2011;7;Jouet A;344;211
Magasin 438;2022;8;Dentifrice;285;63
Magasin 268;2015;1;Yaourt;185;377
Magasin 17;2023;10;Jouet A;22;123
Magasin 577;2025;7;Dentifrice;386;96
Magasin 716;2026;5;Yaourt;367;99
Magasin 329;2014;12;Jouet A;424;307
Magasin 352;2013;3;Dentifrice;58;307
Magasin 126;2022;10;Yaourt;389;346
Magasin 90;2010;12;Jouet A;140;343
Magasin 833;2012;6;Dentifrice;341;100
Magasin 613;2014;6;Yaourt;321;52
Magasin 136;2023;7;Jouet A;341;127
Magasin 373;2024;5;Dentifrice;47;255
Magasin 77;2011;11;Yaourt;99;244
Magasin 508;2018;7;Jouet A;147;236
Magasin 634;2011;1;Dentifrice;211;4
Magasin 825;2017;1;Yaourt;1;81
Magasin 167;2022;11;Jouet A;118;32
Magasin 424;2019;3;Dentifrice;262;30
Magasin 440;2014;4;Yaourt;230;231
Magasin 767;2010;3;Jouet A;31;243
Magasin 945;2022;10;Dentifrice;381;326
Magasin 900;2025;4;Yaourt;98;65
Magasin 162;2019;2;Jouet A;244;425
Magasin 677;2016;10;Dentifrice;412;379
Magasin 629;2020;6;Yaourt;26;469
Magasin 920;2015;5;Jouet A;321;153
Magasin 118;2013;10;Dentifrice;168;6
Magasin 846;2020;4;Yaourt;59;193
Magasin 468;2012;8;Jouet A;249;296
Magasin 89;2016;6;Dentifrice;69;100
Magasin 478;2026;1;Yaourt;235;379
Magasin 327;2025;12;Jouet A;293;405
Magasin 440;2022;2;Dentifrice;95;157
Magasin 681;2025;1;Yaourt;84;323
Magasin 405;2015;8;Jouet A;492;347
Magasin 236;2023;2;Dentifrice;396;88
Magasin 566;2024;9;Yaourt;226;97
Magasin 379;2010;12;Jouet A;343;180
Magasin 564;2015;6;Dentifrice;333;301
Magasin 900;2010;7;Yaourt;92;240
Magasin 657;2021;12;Jouet A;87;71
Magasin 831;2014;7;Dentifrice;238;470
Magasin 218;2018;3;Yaourt;179;283
Magasin 539;2013;5;Jouet A;197;245
Magasin 145;2019;4;Dentifrice;55;271
Magasin 550;2011;12;Yaourt;277;299
Magasin 721;2016;6;Jouet A;134;85
Magasin 468;2010;5;Dentifrice;36;137
Magasin 877;2019;9;Yaourt;433;379
Magasin 493;2017;5;Jouet A;317;201
Magasin 724;2025;2;Dentifrice;163;426
Magasin 504;2023;12;Yaourt;475;235
Magasin 26;2010;1;Jouet A;161;403
Magasin 721;2014;6;Dentifrice;104;119
Magasin 476;2017;8;Yaourt;352;151
Magasin 552;2020;2;Jouet A;421;376
Magasin 126;2019;6;Dentifrice;438;379
Magasin 444;2025;7;Yaourt;62;375
Magasin 904;2026;7;Jouet A;375;400
Magasin 629;2025;12;Dentifrice;455;66
Magasin 515;2019;12;Yaourt;82;304
Magasin 834;2014;5;Jouet A;59;94
Magasin 976;2012;9;Dentifrice;73;147
Magasin 613;2026;11;Yaourt;83;431
Magasin 591;2015;4;Jouet A;245;441
Magasin 48;2012;9;Dentifrice;107;55
Magasin 668;2024;12;Yaourt;463;184
Magasin 279;2018;5;Jouet A;334;158
Magasin 466;2010;7;Dentifrice;17;423
Magasin 196;2019;10;Yaourt;405;171
Magasin 915;2019;5;Jouet A;37;355
Magasin 295;2014;5;Dentifrice;113;41
Magasin 966;2010;8;Yaourt;420;446
Magasin 237;2016;3;Jouet A;140;205
Magasin 291;2024;5;Dentifrice;305;362
Magasin 95;2025;6;Yaourt;258;17
Magasin 277;2022;12;Jouet A;437;44
Magasin 446;2010;10;Dentifrice;295;274
Magasin 871;2014;9;Yaourt;245;298
Magasin 588;2017;1;Jouet A;488;44
Magasin 512;2011;6;Dentifrice;9;328
Magasin 526;2016;9;Yaourt;109;43
Magasin 235;2014;1;Jouet A;408;290
Magasin 283;2016;3;Dentifrice;409;489
Magasin 206;2020;12;Yaourt;323;430
Magasin 996;2016;4;Jouet A;253;100
Magasin 597;2019;8;Dentifrice;163;113
Magasin 489;2023;9;Yaourt;321;284
Magasin 895;2021;4;Jouet A;15;18
Magasin 396;2024;7;Dentifrice;495;45
Magasin 636;2014;9;Yaourt;128;222
Magasin 505;2012;11;Jouet A;353;146
Magasin 988;2019;10;Dentifrice;130;253
Magasin 719;2021;12;Yaourt;324;190
Magasin 438;2018;12;Jouet A;469;321
Magasin 777;2016;12;Dentifrice;346;431
Magasin 283;2022;10;Yaourt;76;466
Magasin 753;2026;2;Jouet A;221;143
Magasin 431;2016;5;Dentifrice;49;173
Magasin 632;2017;5;Yaourt;177;271
Magasin 243;2024;4;Jouet A;213;250
Magasin 869;2020;10;Dentifrice;413;471
Magasin 332;2026;11;Yaourt;473;213
Magasin 27;2023;1;Jouet A;68;124
Magasin 852;2014;5;Dentifrice;224;295
Magasin 577;2016;7;Yaourt;78;265
Magasin 380;2016;3;Jouet A;494;400
Magasin 151;2010;5;Dentifrice;307;29
Magasin 299;2024;5;Yaourt;350;280
Magasin 687;2017;4;Jouet A;250;205
Magasin 971;2021;7;Dentifrice;96;138
Magasin 504;2024;12;Yaourt;169;61
Magasin 173;2010;1;Jouet A;177;213
Magasin 287;2022;2;Dentifrice;349;254
Magasin 989;2023;2;Yaourt;324;41
Magasin 213;2017;8;Jouet A;393;362
Magasin 163;2014;2;Dentifrice;481;282
Magasin 823;2025;4;Yaourt;342;257
Magasin 469;2022;5;Jouet A;386;345
Magasin 224;2016;7;Dentifrice;8;232
Magasin 440;2017;12;Yaourt;369;327
Magasin 43;2011;12;Jouet A;193;161
Magasin 288;2012;8;Dentifrice;390;53
Magasin 404;2011;6;Yaourt;284;8
Magasin 929;2013;5;Jouet A;288;165
Magasin 263;2018;7;Dentifrice;410;283
Magasin 519;2022;1;Yaourt;491;311
Magasin 767;2025;1;Jouet A;204;80
Magasin 916;2022;1;Dentifrice;4;236
Magasin 188;2016;3;Yaourt;370;349
Magasin 745;2024;10;Jouet A;447;341
Magasin 22;2016;4;Dentifrice;345;87
Magasin 303;2024;7;Yaourt;204;442
Magasin 988;2011;2;Jouet A;181;234
Magasin 281;2025;9;Dentifrice;5;121
Magasin 73;2011;7;Yaourt;371;67
Magasin 336;2019;9;Jouet A;160;89
Magasin 23;2021;3;Dentifrice;229;282
Magasin 471;2025;1;Yaourt;248;67
Magasin 448;2026;7;Jouet A;352;463
Magasin 6;2020;12;Dentifrice;291;434
Magasin 943;2021;4;Yaourt;138;80
Magasin 476;2022;3;Jouet A;472;197
Magasin 385;2017;6;Dentifrice;446;89
Magasin 265;2024;4;Yaourt;457;131
Magasin 713;2010;6;Jouet A;81;259
Magasin 970;2010;3;Dentifrice;412;107
Magasin 221;2014;11;Yaourt;237;97
Magasin 972;2013;6;Jouet A;493;355
Magasin 690;2017;12;Dentifrice;43;176
Magasin 211;2025;1;Yaourt;352;371
Magasin 783;2012;6;Jouet A;362;267
Magasin 34;2023;2;Dentifrice;146;470
Magasin 995;2015;6;Yaourt;265;476
Magasin 513;2020;5;Jouet A;373;252
Magasin 461;2023;5;Dentifrice;321;114
Magasin 385;2025;2;Yaourt;221;434
Magasin 190;2011;11;Jouet A;168;248
Magasin 310;2022;5;Dentifrice;358;172
Magasin 44;2022;3;Yaourt;116;359
Magasin 263;2025;9;Jouet A;460;112
Magasin 81;2023;10;Dentifrice;245;349
Magasin 284;2026;4;Yaourt;35;101
Magasin 666;2020;11;Jouet A;358;134
Magasin 664;2026;6;Dentifrice;130;152
Magasin 688;2012;4;Yaourt;184;274
Magasin 10;2014;2;Jouet A;266;299
Magasin 171;2021;5;Dentifrice;29;495
Magasin 558;2011;10;Yaourt;213;235
Magasin 172;2020;10;Jouet A;412;25
Magasin 421;2018;9;Dentifrice;165;79
Magasin 64;2025;2;Yaourt;167;72
Magasin 103;2023;7;Jouet A;9;76
Magasin 894;2016;12;Dentifrice;26;145
Magasin 200;2019;9;Yaourt;214;93
Magasin 770;2021;12;Jouet A;127;148
Magasin 490;2022;10;Dentifrice;279;403
Magasin 973;2019;8;Yaourt;240;350
Magasin 953;2023;8;Jouet A;251;139
Magasin 95;2021;9;Dentifrice;205;161
Magasin 43;2022;10;Yaourt;414;287
Magasin 591;2021;12;Jouet A;477;190
Magasin 819;2017;8;Dentifrice;36;469
Magasin 38;2024;10;Yaourt;263;26
Magasin 554;2022;6;Jouet A;6;312
Magasin 438;2017;9;Dentifrice;322;177
Magasin 131;2021;3;Yaourt;179;262
Magasin 127;2020;3;Jouet A;427;339
Magasin 783;2026;5;Dentifrice;93;195
Magasin 367;2013;2;Yaourt;107;211
Magasin 957;2020;4;Jouet A;427;66
Magasin 858;2026;10;Dentifrice;358;239
Magasin 323;2014;8;Yaourt;39;71
Magasin 683;2010;1;Jouet A;59;287
Magasin 420;2019;6;Dentifrice;254;242
Magasin 568;2026;11;Yaourt;230;470
Magasin 897;2012;4;Jouet A;148;59
Magasin 364;2022;4;Dentifrice;227;412
Magasin 559;2016;7;Yaourt;344;340
Magasin 341;2020;10;Jouet A;295;316
Magasin 275;2025;1;Dentifrice;300;197
Magasin 471;2021;4;Yaourt;339;487
Magasin 35;2022;7;Jouet A;245;309
Magasin 513;2016;5;Dentifrice;316;436
Magasin 836;2019;6;Yaourt;323;489
Magasin 221;2024;3;Jouet A;496;94
Magasin 682;2013;5;Dentifrice;214;24
Magasin 564;2017;3;Yaourt;67;7
Magasin 735;2024;7;Jouet A;129;423
Magasin 666;2015;6;Dentifrice;341;387
Magasin 93;2010;6;Yaourt;347;428
Magasin 805;2017;1;Jouet A;176;254
Magasin 971;2020;7;Dentifrice;197;83
Magasin 6;2015;7;Yaourt;337;146
Magasin 278;2025;11;Jouet A;314;321
Magasin 48;2025;12;Dentifrice;364;136
Magasin 336;2022;3;Yaourt;494;231
Magasin 822;2013;11;Jouet A;422;225
Magasin 979;2013;6;Dentifrice;165;127
Magasin 248;2011;8;Yaourt;414;392
Magasin 861;2011;7;Jouet A;362;16
Magasin 856;2016;6;Dentifrice;51;168
Magasin 373;2010;11;Yaourt;274;174
Magasin 386;2014;1;Jouet A;333;384
Magasin 537;2014;10;Dentifrice;215;122
Magasin 92;2024;7;Yaourt;32;397
Magasin 970;2022;2;Jouet A;242;448
Magasin 701;2012;8;Dentifrice;497;288
Magasin 6;2020;5;Yaourt;244;151
Magasin 424;2022;9;Jouet A;457;240
Magasin 697;2010;11;Dentifrice;75;211
Magasin 28;2024;8;Yaourt;405;170
Magasin 241;2018;4;Jouet A;304;82
Magasin 48;2021;4;Dentifrice;59;401
Magasin 476;2019;2;Yaourt;231;318
Magasin 783;2016;5;Jouet A;85;179
Magasin 981;2024;7;Dentifrice;455;142
Magasin 152;2021;6;Yaourt;246;430
Magasin 680;2023;1;Jouet A;407;338
Magasin 362;2017;6;Dentifrice;486;328
Magasin 386;2022;9;Yaourt;463;246
Magasin 506;2013;3;Jouet A;381;38
Magasin 597;2010;5;Dentifrice;11;113
Magasin 988;2025;4;Yaourt;20;185
Magasin 556;2021;2;Jouet A;51;178
Magasin 376;2026;8;Dentifrice;154;312
Magasin 496;2012;6;Yaourt;382;379
Magasin 482;2018;10;Jouet A;306;381
Magasin 444;2015;11;Dentifrice;236;225
Magasin 679;2012;11;Yaourt;59;448
Magasin 788;2026;12;Jouet A;113;343
Magasin 671;2012;10;Dentifrice;193;366
Magasin 540;2015;3;Yaourt;176;107
Magasin 639;2021;2;Jouet A;468;202
Magasin 245;2020;1;Dentifrice;239;153
Magasin 755;2010;11;Yaourt;241;26
Magasin 742;2015;6;Jouet A;210;216
Magasin 407;2024;2;Dentifrice;75;221
Magasin 490;2026;9;Yaourt;238;353
Magasin 309;2016;5;Jouet A;460;43
Magasin 573;2012;3;Dentifrice;491;226
Magasin 899;2016;5;Yaourt;439;90
Magasin 975;2012;8;Jouet A;323;13
Magasin 251;2011;6;Dentifrice;29;27
Magasin 796;2025;5;Yaourt;344;427
Magasin 592;2014;4;Jouet A;166;28
Magasin 11;2022;9;Dentifrice;208;106
Magasin 273;2023;8;Yaourt;95;289
Magasin 759;2013;7;Jouet A;177;81
Magasin 7;2023;4;Dentifrice;273;412
Magasin 320;2019;5;Yaourt;83;137
Magasin 857;2025;3;Jouet A;390;148
Magasin 59;2018;10;Dentifrice;401;196
Magasin 744;2021;5;Yaourt;498;117
Magasin 719;2021;4;Jouet A;445;457
Magasin 646;2017;5;Dentifrice;124;300
Magasin 899;2013;7;Yaourt;69;337
Magasin 167;2013;2;Jouet A;160;116
Magasin 455;2010;12;Dentifrice;267;88
Magasin 374;2021;3;Yaourt;428;364
Magasin 4;2020;8;Jouet A;51;264
Magasin 299;2019;3;Dentifrice;460;43
Magasin 306;2016;7;Yaourt;496;419
Magasin 276;2015;5;Jouet A;405;472
Magasin 941;2023;6;Dentifrice;456;219
Magasin 920;2024;1;Yaourt;242;34
Magasin 515;2017;7;Jouet A;301;389
Magasin 749;2025;4;Dentifrice;10;151
Magasin 57;2025;1;Yaourt;134;280
Magasin 627;2017;4;Jouet A;422;490
Magasin 950;2011;7;Dentifrice;134;488
Magasin 145;2024;9;Yaourt;118;277
Magasin 343;2014;5;Jouet A;50;102
Magasin 706;2012;1;Dentifrice;133;384
Magasin 235;2024;9;Yaourt;144;146
Magasin 481;2024;3;Jouet A;481;286
Magasin 840;2017;6;Dentifrice;162;286
Magasin 499;2024;3;Yaourt;112;299
Magasin 448;2017;7;Jouet A;53;152
Magasin 124;2020;7;Dentifrice;475;373
Magasin 522;2025;8;Yaourt;495;214
Magasin 323;2017;1;Jouet A;107;126
Magasin 926;2017;8;Dentifrice;448;70
Magasin 121;2025;3;Yaourt;436;249
Magasin 88;2020;4;Jouet A;33;256
Magasin 981;2021;3;Dentifrice;212;435
Magasin 426;2017;7;Yaourt;97;56
Magasin 477;2024;8;Jouet A;227;455
Magasin 657;2016;12;Dentifrice;471;367
Magasin 880;2025;3;Yaourt;44;266
Magasin 239;2015;8;Jouet A;314;497
Magasin 244;2017;7;Dentifrice;283;365
Magasin 625;2021;2;Yaourt;149;333
Magasin 708;2022;12;Jouet A;499;363
Magasin 582;2010;12;Dentifrice;357;409
Magasin 876;2012;1;Yaourt;92;492
Magasin 438;2014;8;Jouet A;460;394
